423	1
484	1
1079	1
1240	1
1539	1
1631	1
1697	1
1846	1
3270	1
4911	1
4953	1
5180	1
5312	1
5472	1
5898	1
6837	1
6919	1
7486	1
7746	1
8161	1
8493	1
9461	1
9691	1
9721	1
9782	1
10510	1
10723	1
10773	1
11827	1
12020	1
12550	1
13256	1
13714	1
13751	1
14152	1
14486	1
15282	1
15587	1
16138	1
16842	1
17013	1
17102	1
17282	1
17555	1
17962	1
18393	1
2637	2
2780	2
7549	2
8726	2
9777	2
11706	2
11951	2
12629	2
13161	2
13629	2
15614	2
169	3
227	3
377	3
410	3
416	3
1297	3
1304	3
1306	3
1352	3
1639	3
1683	3
1850	3
1963	3
2128	3
2364	3
2373	3
2455	3
2753	3
2762	3
2818	3
2957	3
3048	3
3231	3
3355	3
4277	3
4386	3
4680	3
4691	3
4819	3
4823	3
4837	3
5129	3
5431	3
5432	3
5472	3
5575	3
5580	3
6218	3
6254	3
6390	3
6442	3
6453	3
6748	3
6757	3
6843	3
7194	3
7268	3
7406	3
7568	3
8018	3
8051	3
8158	3
8312	3
8516	3
8595	3
8625	3
8641	3
8700	3
8873	3
9191	3
9215	3
9247	3
9321	3
9366	3
9596	3
9671	3
9740	3
9762	3
9855	3
9865	3
9875	3
9932	3
9957	3
10069	3
10491	3
10577	3
10626	3
10808	3
11329	3
11387	3
11707	3
11768	3
11802	3
12323	3
12499	3
12517	3
12869	3
13057	3
13320	3
13366	3
13397	3
13743	3
13866	3
14013	3
14221	3
14329	3
14871	3
14941	3
15012	3
15460	3
15478	3
15482	3
15675	3
16414	3
16527	3
16537	3
16773	3
17014	3
17051	3
17110	3
17124	3
17190	3
17418	3
17476	3
17482	3
17609	3
17734	3
17745	3
17875	3
18136	3
18349	3
462	4
531	4
605	4
750	4
939	4
981	4
1358	4
1410	4
1460	4
1525	4
1736	4
2270	4
2634	4
2757	4
2875	4
3691	4
3758	4
4342	4
4361	4
4422	4
4810	4
4951	4
5126	4
5173	4
5188	4
5472	4
5907	4
6114	4
6138	4
6139	4
6530	4
6768	4
6883	4
6892	4
7522	4
8461	4
9009	4
9764	4
9931	4
10138	4
10626	4
11368	4
11879	4
12187	4
12238	4
12499	4
12814	4
13145	4
13683	4
13852	4
13949	4
13969	4
14367	4
15171	4
15281	4
15509	4
15926	4
16415	4
16535	4
17040	4
17079	4
17877	4
18346	4
19	5
170	5
215	5
325	5
680	5
685	5
713	5
766	5
1092	5
1123	5
1313	5
1319	5
1396	5
2059	5
2079	5
2176	5
2254	5
2448	5
2687	5
2915	5
3278	5
3290	5
3297	5
3469	5
3577	5
3645	5
4222	5
4284	5
4378	5
4570	5
4647	5
4759	5
4927	5
4963	5
5023	5
5026	5
5042	5
5146	5
